Month,Day,Year,SALEM_WIND,SALEM_TEMP,LOSANGELES_WIND,LOSANGELES_TEMP,BOISE_WIND,BOISE_TEMP,SF_WIND,SF_TEMP,SEATTLE_WIND,SEATTLE_TEMP
1,30,1970,,6.4,,12.2,,1.1,,12.5,,4.2
1,31,1970,,8.35,,16.15,,-0.55,,13.05,,7.75
2,1,1970,,6.95,,15,,2.75,,13.05,,7.8
2,2,1970,,7.8,,15.55,,2.8,,15.25,,7.25
2,3,1970,,5,,16.1,,3.6,,14.45,,6.65
2,4,1970,,2.75,,14.45,,-0.6,,13.9,,4.2
2,5,1970,,5,,13.65,,1.65,,13.6,,2.8
2,6,1970,,9.7,,14.7,,4.15,,13.6,,8.6
2,7,1970,,10.25,,19.45,,4.75,,16.4,,13.3
2,8,1970,,8.65,,19.45,,6.1,,17.2,,12.2
2,9,1970,,6.9,,16.65,,5,,17.25,,8.9
2,10,1970,,7.2,,16.65,,6.4,,17.8,,11.1
2,11,1970,,8.85,,16.65,,6.1,,16.4,,8.6
2,12,1970,,8.6,,15,,9.15,,15.3,,11.9
2,13,1970,,7.25,,14.15,,6.1,,14.75,,9.45
2,14,1970,,6.4,,15.3,,5.3,,14.75,,7.5
2,15,1970,,10,,16.1,,7.5,,16.4,,8.35
2,16,1970,,9.2,,14.7,,11.9,,15.55,,9.2
2,17,1970,,6.1,,14.2,,5.3,,15,,6.7
2,18,1970,,5.6,,18.85,,3.6,,14.4,,7.25
2,19,1970,,5.25,,16.65,,1.7,,16.95,,7.2
2,20,1970,,6.65,,17.5,,4.75,,13.6,,8.6
2,21,1970,,6.4,,13.35,,4.7,,14.15,,9.75
2,22,1970,,7.2,,13.6,,5,,13.35,,7.5
2,23,1970,,6.4,,15.3,,5.8,,15,,9.15
2,24,1970,,9.75,,16.95,,4.45,,16.7,,9.75
2,25,1970,,8.05,,18.6,,6.65,,18.65,,8.35
2,26,1970,,6.15,,17.25,,5.85,,17.2,,7.8
2,27,1970,,6.95,,15.25,,7.5,,14.75,,6.95
2,28,1970,,6.1,,15,,5,,15.55,,6.1
3,1,1970,,4.15,,14.45,,7.2,,15,,4.15
3,2,1970,,6.95,,13.65,,0.55,,14.2,,3.9
3,3,1970,,7.5,,13.6,,3.05,,14.45,,5.3
3,4,1970,,6.65,,12.2,,5.3,,14.15,,7.25
3,5,1970,,5.3,,12.8,,3.05,,13.9,,6.1
3,6,1970,,11.4,,13.9,,6.4,,14.15,,8.9
3,7,1970,,6.4,,14.75,,8.9,,15,,8.9
3,8,1970,,5.85,,14.7,,4.15,,14.45,,6.15
3,9,1970,,6.4,,14.15,,2.25,,14.7,,8.1
3,10,1970,,7.5,,14.45,,3.05,,14.75,,8.9
3,11,1970,,9.75,,13.9,,3.9,,14.75,,7.8
3,12,1970,,9.45,,13.9,,3.9,,14.45,,8.35
3,13,1970,,8.05,,17.75,,9.7,,18.05,,11.7
3,14,1970,,11.1,,18.35,,9.7,,18.05,,10.55
3,15,1970,,9.7,,18.05,,6.65,,16.4,,8.6
3,16,1970,,7.75,,17.2,,5.3,,16.1,,6.9
3,17,1970,,5.3,,15.25,,3.85,,15,,5.8
3,18,1970,,5.55,,16.7,,3.3,,18.6,,6.15
3,19,1970,,6.15,,15.8,,2.5,,16.95,,7.75
3,20,1970,,7.8,,16.95,,6.1,,16.4,,8.9
3,21,1970,,8.9,,15.55,,6.4,,16.4,,8.35
3,22,1970,,6.95,,16.95,,5.3,,16.95,,8.3
3,23,1970,,6.4,,14.7,,6.65,,16.95,,7.75
3,24,1970,,6.35,,14.45,,6.15,,16.1,,7.8
3,25,1970,,6.95,,16.35,,3.35,,16.4,,6.15
3,26,1970,,8.35,,14.45,,8.6,,15.25,,9.45
3,27,1970,,8.05,,15.85,,4.45,,16.65,,6.95
3,28,1970,,10.25,,15,,6.95,,16.65,,9.45
3,29,1970,,7.25,,15.25,,4.15,,16.1,,8.6
3,30,1970,,6.4,,15.55,,5.85,,16.35,,8.3
3,31,1970,,7.2,,14.15,,4.75,,16.35,,9.2
4,1,1970,,6.4,,15.55,,4.7,,16.95,,8.6
4,2,1970,,7.25,,15,,5.55,,16.65,,7.8
4,3,1970,,6.95,,15.25,,2.5,,15.25,,7.75
4,4,1970,,6.7,,19.15,,10.55,,18.05,,8.6
4,5,1970,,12.5,,19.2,,12.5,,18.35,,11.1
4,6,1970,,6.65,,17.5,,15.55,,16.15,,5.8
4,7,1970,,5,,16.95,,4.45,,16.65,,5
4,8,1970,,11.1,,15.3,,7.2,,16.1,,9.45
4,9,1970,,10.8,,16.15,,11.1,,16.1,,10
4,10,1970,,7.5,,17.75,,7.75,,18.6,,8.35
4,11,1970,,6.1,,18.3,,3.85,,17.8,,7.2
4,12,1970,,4.45,,18.05,,2.5,,17.5,,7.75
4,13,1970,,8.35,,14.45,,5.85,,15.55,,8.05
4,14,1970,,8.05,,12.2,,4.45,,14.2,,8.6
4,15,1970,,7.5,,13.35,,4.45,,13.9,,8.85
4,16,1970,,8.6,,13.35,,5.55,,13.35,,9.45
4,17,1970,,8.35,,13.65,,6.1,,13.6,,10.55
4,18,1970,,7.5,,14.2,,5.85,,15,,6.65
4,19,1970,,7.25,,14.7,,6.1,,15.55,,7.75
4,20,1970,,6.4,,15.85,,3.6,,15.55,,6.65
4,21,1970,,7.5,,12.75,,3.35,,14.45,,7.2
4,22,1970,,10,,13.05,,5.55,,13.9,,8.65
4,23,1970,,9.45,,14.45,,6.95,,15.3,,7.8
4,24,1970,,7.75,,14.45,,8.3,,15.3,,5.8
4,25,1970,,5.55,,16.65,,6.65,,16.95,,5
4,26,1970,,5.55,,15.85,,5.55,,15.55,,5.55
4,27,1970,,6.7,,13.05,,4.45,,13.65,,5
4,28,1970,,7.5,,12.2,,6.65,,13.35,,8.05
4,29,1970,,5,,12.75,,8.6,,13.6,,6.35
4,30,1970,,11.15,,14.45,,10.55,,14.7,,10.8
5,1,1970,,11.65,,17.8,,8.9,,16.95,,11.4
5,2,1970,,12.5,,21.95,,14.45,,22.2,,11.95
5,3,1970,,14.45,,23.85,,18.3,,23.35,,15
5,4,1970,,12.8,,14.7,,21.1,,16.65,,13.05
5,5,1970,,10.85,,15,,19.7,,15,,11.1
5,6,1970,,8.05,,15,,12.5,,15,,10.8
5,7,1970,,8.6,,14.2,,11.4,,15.3,,10
5,8,1970,,11.4,,14.7,,9.15,,16.35,,10.25
5,9,1970,,8.3,,16.65,,9.7,,16.65,,8.6
5,10,1970,,7.5,,16.65,,6.7,,16.65,,7.8
5,11,1970,,6.95,,16.4,,6.4,,16.65,,9.45
5,12,1970,,8.05,,15.55,,6.7,,17.2,,9.45
5,13,1970,,9.75,,16.4,,7.75,,17.5,,9.7
5,14,1970,,12.75,,18.3,,8.35,,18.9,,13.9
5,15,1970,,16.65,,23.6,,14.45,,20,,18.65
5,16,1970,,16.4,,18.35,,21.4,,18.3,,16.15
5,17,1970,,13.65,,17.5,,20.25,,18.35,,12.8
5,18,1970,,11.7,,16.9,,18.9,,17.5,,12.8
5,19,1970,,9.45,,17.2,,17.75,,17.5,,11.65
5,20,1970,,11.95,,17.2,,14.15,,16.95,,12.5
5,21,1970,,12.8,,16.95,,14.45,,16.95,,13.05
5,22,1970,,12.8,,16.95,,18.65,,17.5,,14.15
5,23,1970,,12.5,,17.5,,15,,16.95,,14.75
5,24,1970,,15.8,,18.1,,15.25,,16.35,,16.1
5,25,1970,,18.9,,17.5,,19.45,,16.95,,17.8
5,26,1970,,13.05,,16.65,,19.15,,16.95,,12.25
5,27,1970,,12.5,,17.8,,15,,16.65,,11.95
5,28,1970,,12.75,,17.8,,11.95,,16.95,,12.5
5,29,1970,,15,,17.2,,14.45,,18.35,,10.55
5,30,1970,,13.6,,17.5,,13.6,,18.65,,13.05
5,31,1970,,18.6,,17.5,,14.45,,18.05,,17.2
6,1,1970,,21.4,,16.9,,21.1,,18.6,,23.85
6,2,1970,,22.8,,17.5,,22.5,,18.35,,25.8
6,3,1970,,18.6,,18.35,,25.85,,18.1,,18.6
6,4,1970,,16.65,,19.45,,23.6,,17.25,,16.15
6,5,1970,,19.7,,19.2,,23.35,,18.05,,18.9
6,6,1970,,18.6,,18.35,,25.55,,18.65,,18.05
6,7,1970,,15.55,,18.35,,19.7,,17.5,,15.25
6,8,1970,,11.95,,17.8,,19.75,,16.95,,12.75
6,9,1970,,13.05,,18.35,,13.35,,18.6,,11.95
6,10,1970,,13.9,,18.35,,13.3,,17.8,,13.05
6,11,1970,,12.5,,19.15,,12.5,,18.9,,12.5
6,12,1970,,16.9,,17.5,,12.2,,16.95,,15
6,13,1970,,15.55,,17.5,,12.8,,17.5,,18.05
6,14,1970,,15.8,,16.95,,16.15,,17.25,,15
6,15,1970,,16.15,,18.1,,16.1,,18.05,,11.95
6,16,1970,,15.25,,17.8,,16.95,,18.05,,13.05
6,17,1970,,16.1,,18.35,,19.15,,18.35,,17.2
6,18,1970,,20,,17.75,,20.55,,19.45,,20.3
6,19,1970,,21.35,,18.9,,23.35,,19.2,,20.85
6,20,1970,,23.9,,18.9,,24.7,,18.9,,22.5
6,21,1970,,24.45,,19.2,,27.8,,17.5,,22.5
6,22,1970,,20.8,,20.3,,27.75,,18.05,,19.75
6,23,1970,,21.1,,18.9,,30.3,,19.2,,18.9
6,24,1970,,21.65,,18.05,,27.2,,20.55,,17.75
6,25,1970,,23.85,,24.15,,28.05,,23.05,,20
6,26,1970,,21.95,,20.85,,28.3,,22.5,,19.4
6,27,1970,,14.7,,18.05,,18.65,,20.55,,13.1
6,28,1970,,15,,19.2,,17.2,,18.6,,12.8
6,29,1970,,15,,19.45,,11.65,,18.6,,13.05
6,30,1970,,15,,20,,15,,19.45,,12.75
7,1,1970,,18.6,,20,,21.35,,19.75,,15.85
7,2,1970,,22.5,,20.85,,23.65,,21.1,,21.7
7,3,1970,,26.4,,24.15,,26.4,,24.15,,23.05
7,4,1970,,23.85,,23.05,,26.95,,24.75,,21.4
7,5,1970,,20,,22.5,,25.55,,21.1,,17.8
7,6,1970,,17.5,,22.25,,23.9,,20.25,,17.5
7,7,1970,,21.65,,21.1,,25.55,,21.35,,20.55
7,8,1970,,22.8,,20,,27.5,,20.8,,21.1
7,9,1970,,20,,19.7,,26.7,,20.85,,19.2
7,10,1970,,19.15,,18.9,,23.3,,20.55,,17.8
7,11,1970,,20,,18.35,,24.15,,20.55,,17.5
7,12,1970,,18.35,,18.9,,26.95,,20,,18.05
7,13,1970,,16.65,,19.45,,20.55,,20,,17.5
7,14,1970,,25,,19.75,,20.55,,20.25,,20.25
7,15,1970,,25.25,,18.9,,27.8,,20,,24.45
7,16,1970,,15.25,,20,,30.25,,20.55,,18.35
7,17,1970,,19.45,,21.35,,23.9,,20,,18.05
7,18,1970,,22.2,,23.6,,26.15,,21.1,,21.35
7,19,1970,,20.55,,21.65,,29.45,,22.8,,20.8
7,20,1970,,20.55,,21.95,,28.9,,22.8,,17.5
7,21,1970,,14.45,,20.85,,25.8,,23.9,,15.55
7,22,1970,,14.4,,21.4,,19.45,,20.85,,16.15
7,23,1970,,18.1,,19.15,,20.3,,20.85,,17.8
7,24,1970,,18.35,,19.75,,25.55,,20.55,,16.65
7,25,1970,,18.05,,18.9,,21.95,,20.55,,14.45
7,26,1970,,21.1,,18.35,,24.45,,21.1,,16.65
7,27,1970,,16.15,,18.9,,26.35,,20.8,,15.8
7,28,1970,,15.85,,18.9,,25.8,,21.4,,16.1
7,29,1970,,17.8,,19.2,,21.15,,22.2,,13.6
7,30,1970,,17.8,,18.9,,20.3,,22.75,,16.4
7,31,1970,,18.05,,20.85,,21.95,,22.5,,17.75
8,1,1970,,18.9,,21.15,,24.7,,21.7,,15.3
8,2,1970,,19.7,,20.85,,20.3,,21.1,,14.15
8,3,1970,,19.45,,19.45,,22.2,,20.55,,18.05
8,4,1970,,13.6,,19.45,,27.25,,20.25,,16.95
8,5,1970,,17.5,,18.6,,30,,20.8,,18.9
8,6,1970,,20,,17.8,,29.75,,21.4,,19.7
8,7,1970,,16.65,,22.5,,24.75,,24.45,,16.65
8,8,1970,,14.4,,24.4,,18.6,,24.15,,16.15
8,9,1970,,18.35,,21.95,,20,,23.85,,17.2
8,10,1970,,24.2,,18.9,,22.75,,23.9,,19.7
8,11,1970,,23.9,,20.25,,26.65,,22.8,,21.35
8,12,1970,,20.55,,22.2,,26.95,,23.65,,18.05
8,13,1970,,19.15,,22.5,,21.65,,23.9,,16.4
8,14,1970,,18.05,,21.4,,19.75,,23.9,,17.8
8,15,1970,,21.35,,22.2,,22.2,,23.9,,20
8,16,1970,,17.25,,23.35,,26.7,,24.45,,15.85
8,17,1970,,15.85,,22.5,,22.5,,24.2,,17.75
8,18,1970,,17.25,,19.2,,20.55,,23.35,,18.9
8,19,1970,,18.05,,19.75,,23.05,,22.8,,19.2
8,20,1970,,16.95,,19.75,,23.6,,22.5,,18.3
8,21,1970,,18.85,,19.75,,23.6,,21.95,,19.2
8,22,1970,,21.4,,19.75,,25.85,,21.65,,21.9
8,23,1970,,18.6,,20,,27.75,,21.95,,20
8,24,1970,,15,,21.7,,28.05,,22.8,,16.9
8,25,1970,,15.55,,21.95,,25.85,,23.35,,17.5
8,26,1970,,17.25,,21.35,,22.25,,23.1,,18.85
8,27,1970,,17.5,,22.2,,23.3,,22.8,,15.55
8,28,1970,,17.2,,20,,23.6,,21.65,,17.2
8,29,1970,,21.65,,19.7,,22.5,,21.65,,18.3
8,30,1970,,21.95,,20,,28.3,,21.95,,20.3
8,31,1970,,19.7,,19.7,,28.35,,21.9,,17.2
9,1,1970,,15.25,,19.2,,21.65,,21.1,,16.65
9,2,1970,,14.7,,18.65,,21.35,,20,,16.1
9,3,1970,,15.55,,19.2,,20.85,,20,,15.8
9,4,1970,,15,,17.5,,15.3,,20,,15
9,5,1970,,12.2,,19.7,,13.85,,19.2,,13.65
9,6,1970,,17.5,,22.25,,17.8,,19.15,,15
9,7,1970,,15.8,,20.8,,21.95,,20.55,,12.75
9,8,1970,,14.2,,19.2,,13.6,,21.4,,14.15
9,9,1970,,16.95,,19.15,,11.4,,20.8,,13.6
9,10,1970,,16.9,,19.45,,16.4,,21.65,,15.8
9,11,1970,,16.15,,19.2,,14.45,,21.4,,15
9,12,1970,,11.4,,19.75,,8.05,,19.45,,13.85
9,13,1970,,9.45,,19.75,,6.65,,19.45,,11.95
9,14,1970,,12.25,,18.35,,4.45,,19.7,,14.75
9,15,1970,,12.25,,18.3,,10,,19.15,,13.6
9,16,1970,,17.25,,19.15,,15.8,,18.9,,16.4
9,17,1970,,17.25,,18.35,,19.15,,20,,15.55
9,18,1970,,15.55,,17.2,,20.55,,20,,13.9
9,19,1970,,15.3,,17.2,,13.6,,19.15,,14.75
9,20,1970,,14.15,,18.6,,10.55,,19.15,,13.05
9,21,1970,,13.9,,19.2,,11.1,,19.45,,12.25
9,22,1970,,14.15,,21.95,,13.35,,21.4,,14.2
9,23,1970,,10,,22.5,,10.55,,18.9,,11.4
9,24,1970,,10.55,,19.45,,7.75,,20.25,,11.1
9,25,1970,,13.65,,22.8,,8.05,,20,,13.35
9,26,1970,,17.8,,25,,12.75,,23.9,,18.35
9,27,1970,,17.25,,29.75,,15.85,,27.75,,21.1
9,28,1970,,16.1,,26.95,,17.75,,26.65,,18.6
9,29,1970,,15.55,,26.65,,17.75,,24.4,,17.25
9,30,1970,,14.45,,24.15,,17.2,,24.4,,14.75
10,1,1970,,14.75,,22.75,,15.3,,23.3,,15.8
10,2,1970,,18.6,,23.9,,18.35,,21.1,,17.2
10,3,1970,,16.95,,22.25,,18.35,,21.4,,16.65
10,4,1970,,10.3,,20,,18.3,,20.8,,13.9
10,5,1970,,12.8,,18.6,,11.4,,19.75,,11.1
10,6,1970,,9.75,,19.2,,6.7,,18.9,,10.55
10,7,1970,,7.75,,19.2,,7.25,,18.05,,9.45
10,8,1970,,14.15,,20.25,,6.1,,20.25,,11.4
10,9,1970,,12.5,,19.7,,10,,20,,13.05
10,10,1970,,13.05,,19.45,,10,,18.35,,11.35
10,11,1970,,12.75,,19.15,,13.3,,18.6,,12.5
10,12,1970,,8.6,,18.65,,8.65,,20,,10.55
10,13,1970,,10.3,,19.15,,7.2,,20.55,,9.45
10,14,1970,,12.8,,18.9,,8.35,,20,,12.5
10,15,1970,,12.25,,17.75,,8.9,,20,,13.3
10,16,1970,,10.55,,18.1,,8.05,,19.7,,10.8
10,17,1970,,9.15,,18.35,,10.55,,19.45,,9.45
10,18,1970,,12.75,,18.6,,10.3,,18.6,,12.8
10,19,1970,,10.3,,18.6,,10.25,,18.6,,11.1
10,20,1970,,11.1,,18.35,,8.35,,18.9,,9.15
10,21,1970,,10,,18.1,,7.8,,18.05,,7.8
10,22,1970,,9.2,,16.35,,5.85,,17.2,,8.65
10,23,1970,,10.25,,17.8,,7.2,,18.35,,8.65
10,24,1970,,9.2,,16.95,,5.3,,17.5,,6.9
10,25,1970,,6.65,,16.65,,3.35,,17.2,,5.55
10,26,1970,,3.9,,15,,2.2,,16.15,,5
10,27,1970,,3.6,,18.9,,0.55,,18.35,,4.4
10,28,1970,,5,,20,,2.8,,17.5,,7.5
10,29,1970,,5.85,,21.1,,4.45,,18.05,,6.35
10,30,1970,,5.55,,18.35,,4.15,,18.05,,7.25
10,31,1970,,10.55,,15.85,,8.05,,17.25,,12.5
11,1,1970,,10.25,,18.05,,7.8,,16.95,,10.85
11,2,1970,,10.8,,15.85,,9.2,,16.4,,14.15
11,3,1970,,9.4,,16.1,,8.35,,16.35,,16.1
11,4,1970,,8.6,,16.4,,12.75,,16.9,,11.95
11,5,1970,,9.15,,17.8,,10.85,,16.7,,8.05
11,6,1970,,9.45,,16.95,,10.3,,18.9,,12.75
11,7,1970,,9.7,,16.95,,6.7,,17.2,,11.65
11,8,1970,,11.9,,17.5,,6.65,,16.1,,11.65
11,9,1970,,6.65,,18.35,,8.6,,18.6,,9.75
11,10,1970,,5.85,,15.85,,5.6,,16.65,,8.35
11,11,1970,,11.1,,16.1,,8.3,,16.4,,11.1
11,12,1970,,6.65,,19.7,,5,,17.5,,9.75
11,13,1970,,3.9,,18.65,,2.25,,17.5,,8.3
11,14,1970,,5.3,,20.55,,5.55,,19.45,,13.05
11,15,1970,,6.1,,20.8,,4.45,,19.75,,12.5
11,16,1970,,7.8,,16.95,,7.5,,17.2,,10.3
11,17,1970,,6.4,,15.85,,5,,15.3,,9.2
11,18,1970,,8.9,,13.6,,4.2,,14.45,,8.05
11,19,1970,,7.75,,16.4,,4.2,,15.25,,8.3
11,20,1970,,3.6,,16.65,,4.45,,15.8,,5.25
11,21,1970,,0.85,,16.1,,2.5,,16.1,,0
11,22,1970,,-1.7,,13.6,,-1.65,,15,,0
11,23,1970,,5.85,,13.85,,3.1,,13.85,,5.85
11,24,1970,,8.9,,13.35,,10,,14.2,,7.75
11,25,1970,,3.9,,15.55,,7.8,,15.85,,3.35
11,26,1970,,4.2,,15.55,,2.5,,16.1,,2.25
11,27,1970,,4.15,,12.8,,4.75,,14.75,,4.45
11,28,1970,,3.9,,13.05,,7.75,,15.85,,2.5
11,29,1970,,-0.25,,14.2,,6.4,,14.45,,0.55
11,30,1970,,3.9,,13.6,,4.75,,14.2,,3.6
12,1,1970,,3.05,,13.65,,1.1,,13.9,,2.2
12,2,1970,,3.9,,14.2,,4.15,,13.6,,3.05
12,3,1970,,4.15,,12.8,,2.8,,12.8,,3.65
12,4,1970,,-0.55,,15,,3.3,,13.6,,2.75
12,5,1970,,8.05,,18.35,,6.1,,15.8,,6.7
12,6,1970,,12.2,,19.15,,8.9,,16.4,,10
12,7,1970,,8.05,,17.5,,8.9,,16.1,,7.25
12,8,1970,,3.05,,12.75,,6.1,,15.25,,3.35
12,9,1970,,5.8,,14.45,,4.45,,13.9,,3.6
12,10,1970,,7.5,,15,,1.1,,13.6,,6.9
12,11,1970,,3.3,,16.1,,0.55,,14.2,,5.3
12,12,1970,,0.25,,15.8,,-1.95,,12.75,,3.1
12,13,1970,,2.75,,13.3,,-0.85,,11.65,,4.45
12,14,1970,,4.45,,13.05,,-1.95,,14.2,,5
12,15,1970,,8.6,,12.2,,0.8,,12.5,,5.55
12,16,1970,,4.7,,12.5,,4.45,,12.25,,6.95
12,17,1970,,1.4,,12.2,,-1.4,,12.5,,4.45
12,18,1970,,-1.7,,10,,-1.95,,11.1,,1.4
12,19,1970,,-1.95,,10.25,,-3.3,,13.05,,1.65
12,20,1970,,2.8,,10.25,,-3.05,,11.1,,2.8
12,21,1970,,2.2,,11.65,,0.3,,12.25,,0.25
12,22,1970,,3.05,,11.1,,-3.6,,11.9,,-0.55
12,23,1970,,3.05,,11.4,,-4.15,,10.55,,2.5
12,24,1970,,3.6,,12.8,,-2.5,,11.4,,2.2
12,25,1970,,2.8,,13.9,,-3.6,,12.5,,1.4
12,26,1970,,1.95,,11.1,,-5,,11.65,,0.8
12,27,1970,,5,,11.65,,-2.25,,12.2,,4.15
12,28,1970,,5.55,,10.85,,0.8,,12.2,,5.55
12,29,1970,,4.7,,10.85,,2.75,,10.8,,4.2
12,30,1970,,7.2,,14.45,,2.5,,12.25,,6.1
12,31,1970,,1.4,,15.55,,2.25,,14.7,,2.8
1,1,1971,,-1.95,,11.65,,-3.35,,13.05,,1.1
1,2,1971,,-3.6,,11.95,,-4.7,,10.8,,-0.3
1,3,1971,,-1.1,,8.35,,-6.7,,8.3,,-2.2
1,4,1971,,-2.75,,7.2,,-9.7,,6.4,,-1.1
1,5,1971,,-3.6,,7.25,,-10.25,,6.15,,-1.35
1,6,1971,,-2.8,,8.85,,-10,,8.05,,0.3
1,7,1971,,2.5,,7.5,,-7.2,,6.4,,3.05
1,8,1971,,6.65,,9.4,,-3.05,,8.3,,6.95
1,9,1971,,8.35,,9.75,,3.65,,8.9,,7.25
1,10,1971,,4.45,,10,,4.7,,10.25,,3.1
1,11,1971,,0.8,,8.9,,5.25,,9.7,,-0.85
1,12,1971,,-0.55,,11.35,,-1.15,,12.25,,-0.55
1,13,1971,,-1.4,,10.85,,-1.9,,11.4,,-1.1
1,14,1971,,2.5,,11.1,,0.8,,11.1,,0.55
1,15,1971,,7.5,,12.5,,5.55,,11.65,,6.65
1,16,1971,,10.8,,13.35,,6.95,,13.6,,8.9
1,17,1971,,11.4,,19.45,,6.65,,15.55,,9.45
1,18,1971,,13.35,,21.1,,5.55,,19.45,,10
1,19,1971,,8.3,,19.7,,7.75,,16.95,,8.05
1,20,1971,,3.9,,16.7,,2.5,,13.35,,3.6
1,21,1971,,4.2,,13.35,,1.65,,12.75,,3.05
1,22,1971,,4.75,,13.35,,-1.1,,13.6,,4.2
1,23,1971,,8.1,,12.75,,2.8,,13.9,,6.4
1,24,1971,,6.15,,12.25,,3.35,,11.1,,5.25
1,25,1971,,7.5,,11.35,,5,,11.65,,5.25
1,26,1971,,5,,14.75,,8.35,,13.6,,8.9
1,27,1971,,1.1,,19.75,,6.1,,17.5,,7.2
1,28,1971,,2.2,,21.65,,3.9,,19.45,,4.45
1,29,1971,,4.75,,20.3,,2.2,,18.9,,5.3
1,30,1971,,10.3,,16.15,,3.3,,17.5,,10
1,31,1971,,5,,12.5,,5.85,,11.65,,10.55
2,1,1971,,8.35,,13.6,,6.95,,12.2,,7.5
2,2,1971,,4.15,,13.05,,3.65,,13.05,,5
2,3,1971,,3.35,,11.4,,0.55,,12.5,,4.45
2,4,1971,,2.25,,12.75,,1.65,,11.7,,3.9
2,5,1971,,0.85,,12.25,,-0.55,,11.4,,3.9
2,6,1971,,0.55,,13.35,,-2.5,,12.25,,1.95
2,7,1971,,0.8,,12.75,,0.85,,12.8,,3.6
2,8,1971,,1.9,,12.5,,2.5,,12.25,,4.7
2,9,1971,,4.7,,14.75,,2.25,,13.05,,5.55
2,10,1971,,7.75,,17.8,,8.3,,17.25,,9.75
2,11,1971,,6.65,,17.5,,6.1,,16.7,,10.8
2,12,1971,,8.6,,21.1,,8.6,,20,,9.15
2,13,1971,,10,,20,,6.4,,18.05,,11.1
2,14,1971,,8.05,,15,,7.5,,12.2,,10.25
2,15,1971,,6.65,,14.45,,6.4,,13.05,,8.05
2,16,1971,,5.3,,12.8,,4.4,,13.05,,7.8
2,17,1971,,6.95,,13.65,,4.2,,13.35,,8.1
2,18,1971,,5,,13.35,,3.9,,13.65,,6.1
2,19,1971,,4.15,,11.4,,2.2,,11.35,,4.75
2,20,1971,,1.95,,11.7,,4.45,,10.8,,3.6
2,21,1971,,2.75,,10.85,,3.3,,11.15,,4.45
2,22,1971,,4.45,,11.35,,2.8,,11.1,,6.95
2,23,1971,,4.45,,13.6,,2.25,,11.95,,7.25
2,24,1971,,5.6,,13.35,,6.95,,11.65,,5.55
2,25,1971,,3.05,,13.6,,0.55,,11.95,,4.15
2,26,1971,,0.55,,14.75,,-1.4,,12.8,,2.2
2,27,1971,,0,,10.55,,-2.25,,10.55,,0.55
2,28,1971,,-3.6,,10.85,,-5,,11.95,,-0.8
3,1,1971,,-4.45,,11.7,,-6.65,,11.4,,-0.55
3,2,1971,,-0.25,,9.45,,-1.95,,10,,3.05
3,3,1971,,3.65,,12.5,,7.25,,11.95,,2.8
3,4,1971,,3.05,,12.5,,0.55,,11.7,,2.25
3,5,1971,,3.05,,13.85,,-3.05,,13.6,,2.25
3,6,1971,,3.6,,15.8,,0.85,,13.6,,3.9
3,7,1971,,3.05,,15.55,,4.7,,13.6,,4.7
3,8,1971,,1.4,,12.25,,3.9,,12.5,,4.2
3,9,1971,,5,,12.2,,5.55,,13.35,,5
3,10,1971,,7.2,,12.2,,6.1,,12.8,,6.95
3,11,1971,,6.95,,11.65,,6.95,,14.2,,6.1
3,12,1971,,6.35,,12.8,,7.2,,14.2,,8.1
