"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"    6:00 a.m. to 6:29 a.m.","8.7%","±0.3","8.6%","±0.3","9.9%","±1.1","11.8%","±3.1"
"    6:30 a.m. to 6:59 a.m.","10.8%","±0.3","10.7%","±0.3","12.6%","±1.1","9.2%","±3.1"
"    7:00 a.m. to 7:29 a.m.","15.9%","±0.3","16.0%","±0.3","16.5%","±1.3","16.7%","±3.7"
"    7:30 a.m. to 7:59 a.m.","14.0%","±0.3","14.6%","±0.3","11.3%","±1.0","6.7%","±1.6"
"    8:00 a.m. to 8:29 a.m.","10.6%","±0.2","10.8%","±0.3","8.6%","±0.8","10.8%","±2.9"
"    8:30 a.m. to 8:59 a.m.","5.0%","±0.2","5.1%","±0.2","3.9%","±0.6","7.9%","±2.3"
"    9:00 a.m. to 11:59 p.m.","23.6%","±0.4","23.3%","±0.4","22.1%","±1.4","29.1%","±5.0"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","12.9%","±0.3","12.2%","±0.3","11.0%","±1.1","3.9%","±1.7"
"    10 to 14 minutes","15.5%","±0.4","15.7%","±0.4","14.7%","±1.2","6.1%","±1.8"
"    15 to 19 minutes","17.4%","±0.3","18.1%","±0.4","14.5%","±1.1","11.8%","±2.6"
"    20 to 24 minutes","16.6%","±0.4","17.0%","±0.4","16.2%","±1.3","13.0%","±3.0"
"    25 to 29 minutes","6.6%","±0.3","6.9%","±0.3","5.2%","±0.7","4.8%","±1.9"
"    30 to 34 minutes","13.4%","±0.3","13.5%","±0.3","14.7%","±1.2","14.4%","±3.1"
"    35 to 44 minutes","5.8%","±0.2","5.9%","±0.2","6.4%","±0.8","7.3%","±2.3"
"    45 to 59 minutes","6.4%","±0.2","6.2%","±0.2","8.5%","±0.8","8.4%","±2.2"
"    60 or more minutes","5.2%","±0.2","4.4%","±0.2","8.9%","±0.7","30.2%","±4.1"
"    Mean travel time to work (minutes)","23.4","±0.2","22.9","±0.2","27.1","±0.7","41.6","±2.9"
"Workers 16 years and over in households","4,067,413","±24,732","3,356,761","±21,656","405,761","±11,448","41,235","±3,526"
"HOUSING TENURE","","","","","","","",""
"    Owner-occupied housing units","70.3%","±0.5","72.2%","±0.5","59.5%","±1.5","36.6%","±4.3"
"    Renter-occupied housing units","29.7%","±0.5","27.8%","±0.5","40.5%","±1.5","63.4%","±4.3"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","2.5%","±0.2","1.1%","±0.1","7.6%","±0.9","34.1%","±5.0"
"    1 vehicle available","20.7%","±0.4","20.1%","±0.4","23.5%","±1.5","29.9%","±4.2"
"    2 vehicles available","42.9%","±0.5","43.8%","±0.6","39.0%","±1.5","23.0%","±3.6"
"    3 or more vehicles available","33.9%","±0.5","35.1%","±0.5","29.9%","±1.4","12.9%","±2.8"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","5.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","11.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","9.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
