"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"        Construction","6.7%","±0.2","6.1%","±0.2","12.4%","±0.9","3.9%","±1.7"
"        Manufacturing","12.1%","±0.3","12.7%","±0.3","13.3%","±1.1","4.3%","±1.5"
"        Wholesale trade","2.3%","±0.1","2.4%","±0.1","2.0%","±0.4","0.7%","±0.4"
"        Retail trade","11.1%","±0.3","11.7%","±0.3","9.3%","±0.9","9.6%","±2.6"
"        Transportation and warehousing, and utilities","4.6%","±0.2","4.8%","±0.2","3.2%","±0.4","4.4%","±1.9"
"        Information and finance and insurance, and real estate and rental and leasing","8.1%","±0.2","7.8%","±0.2","4.7%","±0.6","10.3%","±2.6"
"        Professional, scientific, management, and administrative and waste management services","10.9%","±0.3","9.8%","±0.3","10.3%","±1.0","12.7%","±2.8"
"        Educational services, and health care and social assistance","22.1%","±0.3","23.2%","±0.4","19.8%","±1.1","22.5%","±3.6"
"        Arts, entertainment, and recreation, and accommodation and food services","9.5%","±0.3","9.0%","±0.3","13.6%","±1.1","22.2%","±4.0"
"        Other services (except public administration)","5.0%","±0.2","5.0%","±0.2","4.8%","±0.5","4.7%","±2.0"
"        Public administration","4.3%","±0.2","4.8%","±0.2","2.4%","±0.4","1.8%","±1.0"
"        Armed forces","1.9%","±0.1","1.5%","±0.1","2.3%","±0.4","0.7%","±0.7"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","79.2%","±0.4","79.7%","±0.4","81.1%","±1.1","82.3%","±3.2"
"        Government workers","15.5%","±0.3","16.3%","±0.3","13.4%","±1.0","16.1%","±2.9"
"        Self-employed workers in own not incorporated business","5.2%","±0.2","3.9%","±0.2","5.0%","±0.5","1.4%","±1.1"
"        Unpaid family workers","0.2%","±0.1","0.1%","±0.1","0.4%","±0.2","0.1%","±0.2"
"    PLACE OF WORK","","","","","","","",""
"        Worked in state of residence","97.4%","±0.1","97.4%","±0.1","96.0%","±0.6","97.4%","±1.1"
"            Worked in county of residence","70.8%","±0.4","68.0%","±0.4","69.7%","±1.5","83.3%","±3.3"
"            Worked outside county of residence","26.6%","±0.4","29.4%","±0.4","26.3%","±1.4","14.1%","±3.3"
"        Worked outside state of residence","2.6%","±0.1","2.6%","±0.1","4.0%","±0.6","2.6%","±1.1"
"Workers 16 years and over who did not work at home","4,565,929","±26,224","3,918,502","±24,535","452,538","±15,187","47,231","±4,231"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.8%","±0.1","3.8%","±0.2","4.0%","±0.6","2.5%","±1.1"
"        5:00 a.m. to 5:29 a.m.","3.7%","±0.2","3.7%","±0.2","4.4%","±0.7","4.2%","±2.0"
"        5:30 a.m. to 5:59 a.m.","4.7%","±0.2","4.7%","±0.2","5.2%","±0.5","3.5%","±1.4"
"        6:00 a.m. to 6:29 a.m.","9.1%","±0.3","9.1%","±0.3","10.0%","±1.0","8.9%","±2.8"
"        6:30 a.m. to 6:59 a.m.","10.7%","±0.2","10.7%","±0.3","11.3%","±0.8","10.4%","±2.8"
"        7:00 a.m. to 7:29 a.m.","15.4%","±0.3","15.5%","±0.3","16.0%","±1.2","8.7%","±2.1"
"        7:30 a.m. to 7:59 a.m.","13.0%","±0.3","13.5%","±0.3","9.9%","±0.8","7.6%","±1.8"
"        8:00 a.m. to 8:29 a.m.","10.7%","±0.2","10.9%","±0.3","8.7%","±0.9","9.2%","±2.3"
"        8:30 a.m. to 8:59 a.m.","5.2%","±0.2","5.3%","±0.2","4.1%","±0.5","6.1%","±1.7"
"        9:00 a.m. to 11:59 p.m.","23.7%","±0.3","22.7%","±0.3","26.5%","±1.4","39.1%","±4.0"
"    TRAVEL TIME TO WORK","","","","","","","",""
"        Less than 10 minutes","12.2%","±0.3","11.1%","±0.3","12.5%","±0.9","3.6%","±2.3"
"        10 to 14 minutes","14.0%","±0.4","14.0%","±0.4","13.7%","±1.2","6.9%","±2.3"
"        15 to 19 minutes","17.0%","±0.3","17.3%","±0.3","16.5%","±1.2","14.5%","±3.3"
"        20 to 24 minutes","15.7%","±0.3","16.2%","±0.3","14.2%","±1.2","9.1%","±2.1"
"        25 to 29 minutes","7.1%","±0.2","7.4%","±0.2","7.0%","±0.7","3.6%","±1.7"
"        30 to 34 minutes","13.4%","±0.3","13.6%","±0.3","14.1%","±1.0","14.6%","±2.9"
"        35 to 44 minutes","6.9%","±0.2","7.2%","±0.2","5.5%","±0.6","7.6%","±2.2"
"        45 to 59 minutes","7.4%","±0.2","7.4%","±0.2","7.5%","±0.8","13.1%","±2.9"
"        60 or more minutes","6.4%","±0.2","5.8%","±0.2","9.0%","±0.9","27.0%","±3.9"
"        Mean travel time to work (minutes)","24.8","±0.2","24.6","±0.2","26.8","±0.9","41.1","±2.7"
"Workers 16 years and over in households","4,792,222","±25,122","3,900,619","±24,602","439,109","±14,840","45,511","±4,209"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","66.5%","±0.5","68.0%","±0.6","57.7%","±1.6","28.9%","±4.0"
"        Renter-occupied housing units","33.5%","±0.5","32.0%","±0.6","42.3%","±1.6","71.1%","±4.0"
"    VEHICLES AVAILABLE","","","","","","","",""
"        No vehicle available","2.2%","±0.2","1.0%","±0.1","5.5%","±0.7","30.6%","±3.9"
"        1 vehicle available","19.5%","±0.4","18.6%","±0.4","24.2%","±1.6","28.1%","±4.5"
"        2 vehicles available","41.0%","±0.5","41.6%","±0.6","36.6%","±1.4","27.3%","±4.6"
"        3 or more vehicles available","37.4%","±0.5","38.8%","±0.5","33.7%","±1.5","13.9%","±3.2"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","10.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","20.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","15.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
