"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"    Unpaid family workers","0.1%","±0.1","0.1%","±0.1","0.1%","±0.1","0.1%","±0.2"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","97.3%","±0.1","97.4%","±0.1","97.2%","±0.4","94.7%","±2.0"
"        Worked in county of residence","71.0%","±0.4","68.6%","±0.4","69.8%","±1.4","84.4%","±3.1"
"        Worked outside county of residence","26.3%","±0.3","28.8%","±0.4","27.4%","±1.4","10.3%","±2.1"
"    Worked outside state of residence","2.7%","±0.1","2.6%","±0.1","2.8%","±0.4","5.3%","±2.0"
"Workers 16 years and over who did not work at home","4,376,042","±20,809","3,763,121","±20,164","423,351","±11,949","47,899","±4,227"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.9%","±0.2","3.9%","±0.2","4.1%","±0.6","2.7%","±1.6"
"        5:00 a.m. to 5:29 a.m.","3.4%","±0.1","3.3%","±0.2","3.9%","±0.6","1.9%","±1.0"
"        5:30 a.m. to 5:59 a.m.","4.5%","±0.2","4.4%","±0.2","5.8%","±0.8","4.3%","±1.5"
"        6:00 a.m. to 6:29 a.m.","9.1%","±0.3","8.9%","±0.3","11.5%","±1.0","7.4%","±2.1"
"        6:30 a.m. to 6:59 a.m.","10.0%","±0.2","10.1%","±0.2","10.5%","±0.9","13.8%","±3.2"
"        7:00 a.m. to 7:29 a.m.","15.9%","±0.3","16.2%","±0.3","14.6%","±1.1","12.4%","±3.2"
"        7:30 a.m. to 7:59 a.m.","13.3%","±0.3","13.8%","±0.3","10.6%","±0.8","10.5%","±2.1"
"        8:00 a.m. to 8:29 a.m.","10.8%","±0.2","11.1%","±0.2","8.1%","±0.8","9.3%","±2.3"
"        8:30 a.m. to 8:59 a.m.","5.1%","±0.2","5.1%","±0.2","4.4%","±0.7","3.6%","±1.4"
"        9:00 a.m. to 11:59 p.m.","24.1%","±0.4","23.1%","±0.4","26.5%","±1.4","34.1%","±4.3"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","12.1%","±0.3","11.2%","±0.3","11.1%","±1.0","3.4%","±1.5"
"    10 to 14 minutes","14.6%","±0.3","14.6%","±0.3","14.5%","±0.9","7.8%","±2.3"
"    15 to 19 minutes","17.2%","±0.3","17.5%","±0.3","16.3%","±1.2","13.4%","±3.1"
"    20 to 24 minutes","15.8%","±0.3","16.4%","±0.3","13.8%","±1.2","9.8%","±2.5"
"    25 to 29 minutes","7.1%","±0.2","7.4%","±0.3","6.5%","±0.8","4.8%","±1.6"
"    30 to 34 minutes","13.8%","±0.3","13.8%","±0.3","15.7%","±1.1","15.7%","±2.6"
"    35 to 44 minutes","6.5%","±0.2","6.7%","±0.2","6.5%","±0.7","6.9%","±1.8"
"    45 to 59 minutes","7.1%","±0.2","7.2%","±0.2","7.1%","±0.7","10.5%","±2.2"
"    60 or more minutes","5.8%","±0.2","5.2%","±0.2","8.5%","±0.9","27.8%","±3.9"
"    Mean travel time to work (minutes)","24.4","±0.2","24.1","±0.2","26.2","±0.6","43.2","±3.4"
"Workers 16 years and over in households","4,572,616","±20,485","3,748,791","±20,051","415,499","±11,958","44,994","±4,169"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","65.6%","±0.5","67.2%","±0.5","54.3%","±1.4","33.6%","±4.4"
"        Renter-occupied housing units","34.4%","±0.5","32.8%","±0.5","45.7%","±1.4","66.4%","±4.4"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","2.2%","±0.1","1.1%","±0.1","5.3%","±0.6","27.3%","±4.5"
"    1 vehicle available","20.1%","±0.4","19.2%","±0.4","24.9%","±1.5","29.6%","±4.2"
"    2 vehicles available","41.3%","±0.5","42.0%","±0.5","36.8%","±1.6","28.2%","±4.3"
"    3 or more vehicles available","36.4%","±0.5","37.7%","±0.5","33.0%","±1.3","14.9%","±4.2"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","9.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","18.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","13.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
