"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"    Professional, scientific, management, and administrative and waste management services","10.8%","±0.2","9.6%","±0.2","10.6%","±0.8","11.0%","±2.1"
"    Educational services, and health care and social assistance","22.2%","±0.3","23.5%","±0.4","18.0%","±1.0","25.3%","±3.7"
"    Arts, entertainment, and recreation, and accommodation and food services","9.4%","±0.3","9.2%","±0.3","12.2%","±1.0","17.5%","±3.0"
"    Other services (except public administration)","4.9%","±0.2","4.9%","±0.2","4.4%","±0.6","3.7%","±1.5"
"    Public administration","4.0%","±0.2","4.5%","±0.2","2.4%","±0.4","3.7%","±1.8"
"    Armed forces","1.9%","±0.1","1.5%","±0.1","1.8%","±0.4","2.7%","±1.8"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","78.7%","±0.4","79.5%","±0.4","80.0%","±1.1","74.0%","±3.9"
"    Government workers","15.5%","±0.3","16.2%","±0.4","12.6%","±0.9","24.0%","±3.8"
"    Self-employed workers in own not incorporated business","5.6%","±0.2","4.1%","±0.2","7.0%","±0.8","1.9%","±1.2"
"    Unpaid family workers","0.2%","±0.1","0.1%","±0.1","0.3%","±0.2","0.0%","±0.4"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","97.4%","±0.1","97.4%","±0.1","96.7%","±0.5","97.2%","±1.2"
"        Worked in county of residence","71.2%","±0.4","68.6%","±0.5","69.6%","±1.4","85.0%","±3.1"
"        Worked outside county of residence","26.1%","±0.4","28.8%","±0.4","27.0%","±1.3","12.2%","±2.7"
"    Worked outside state of residence","2.6%","±0.1","2.6%","±0.1","3.3%","±0.5","2.8%","±1.2"
"Workers 16 years and over who did not work at home","4,488,673","±24,615","3,876,587","±26,194","423,062","±12,913","46,327","±3,946"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.8%","±0.2","3.8%","±0.2","3.9%","±0.6","5.3%","±1.8"
"        5:00 a.m. to 5:29 a.m.","3.4%","±0.2","3.3%","±0.2","3.9%","±0.6","2.4%","±1.2"
"        5:30 a.m. to 5:59 a.m.","4.8%","±0.2","4.8%","±0.2","4.7%","±0.7","3.3%","±1.4"
"        6:00 a.m. to 6:29 a.m.","9.4%","±0.3","9.3%","±0.3","10.5%","±0.9","9.0%","±2.2"
"        6:30 a.m. to 6:59 a.m.","10.8%","±0.3","10.7%","±0.3","12.5%","±0.9","7.7%","±2.3"
"        7:00 a.m. to 7:29 a.m.","15.5%","±0.3","15.8%","±0.4","15.4%","±1.2","13.4%","±2.5"
"        7:30 a.m. to 7:59 a.m.","13.4%","±0.3","13.9%","±0.3","11.0%","±0.9","8.8%","±2.4"
"        8:00 a.m. to 8:29 a.m.","10.8%","±0.3","11.0%","±0.3","9.3%","±1.0","8.9%","±2.4"
"        8:30 a.m. to 8:59 a.m.","5.1%","±0.2","5.1%","±0.2","3.9%","±0.5","5.9%","±1.9"
"        9:00 a.m. to 11:59 p.m.","23.0%","±0.4","22.3%","±0.4","24.9%","±1.2","35.1%","±3.9"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","12.0%","±0.3","11.2%","±0.3","11.2%","±0.8","2.3%","±1.2"
"    10 to 14 minutes","14.4%","±0.3","14.3%","±0.3","15.4%","±1.0","6.7%","±1.8"
"    15 to 19 minutes","16.9%","±0.3","17.2%","±0.3","16.4%","±1.1","12.2%","±2.8"
"    20 to 24 minutes","15.9%","±0.3","16.3%","±0.3","14.6%","±1.1","12.0%","±2.8"
"    25 to 29 minutes","7.2%","±0.2","7.5%","±0.2","5.8%","±0.6","6.1%","±1.8"
"    30 to 34 minutes","13.1%","±0.3","13.4%","±0.3","13.3%","±1.0","13.9%","±2.8"
"    35 to 44 minutes","6.8%","±0.2","7.0%","±0.2","6.9%","±0.9","4.0%","±1.3"
"    45 to 59 minutes","7.2%","±0.2","7.3%","±0.2","7.6%","±0.8","13.6%","±2.6"
"    60 or more minutes","6.4%","±0.2","5.8%","±0.3","8.9%","±0.9","29.1%","±3.6"
"    Mean travel time to work (minutes)","24.9","±0.2","24.6","±0.2","26.7","±0.8","41.7","±2.7"
"Workers 16 years and over in households","4,719,287","±24,147","3,861,177","±26,201","414,993","±12,907","43,394","±3,647"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","67.3%","±0.4","68.5%","±0.5","59.8%","±1.7","31.3%","±3.4"
"        Renter-occupied housing units","32.7%","±0.4","31.5%","±0.5","40.2%","±1.7","68.7%","±3.4"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","2.2%","±0.2","1.1%","±0.1","6.1%","±0.8","29.9%","±4.4"
"    1 vehicle available","19.6%","±0.4","18.8%","±0.4","23.8%","±1.4","29.8%","±3.7"
"    2 vehicles available","41.3%","±0.5","42.0%","±0.5","36.2%","±1.6","22.2%","±3.7"
"    3 or more vehicles available","36.9%","±0.5","38.2%","±0.5","33.8%","±1.5","18.1%","±3.6"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","9.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","19.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","14.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
