"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"        Not a U.S. citizen","7.1%","±0.2","5.3%","±0.2","19.6%","±1.2","16.1%","±3.2"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","11.7%","±0.2","9.8%","±0.3","25.5%","±1.3","21.9%","±3.6"
"        Speak English ""very well""","5.9%","±0.2","5.5%","±0.2","7.4%","±0.7","10.7%","±2.3"
"        Speak English less than ""very well""","5.9%","±0.2","4.3%","±0.2","18.1%","±1.2","11.2%","±2.8"
"EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","4,263,041","±22,125","3,434,524","±23,690","449,110","±9,843","48,895","±3,694"
"    $1 to $9,999 or loss","14.9%","±0.3","13.2%","±0.3","21.1%","±1.1","29.6%","±3.5"
"    $10,000 to $14,999","8.4%","±0.2","7.9%","±0.2","10.9%","±0.9","13.3%","±2.9"
"    $15,000 to $24,999","17.4%","±0.3","16.6%","±0.4","24.2%","±1.1","19.4%","±3.0"
"    $25,000 to $34,999","16.2%","±0.3","17.0%","±0.4","15.1%","±0.9","13.7%","±3.0"
"    $35,000 to $49,999","17.0%","±0.3","18.0%","±0.4","14.1%","±1.0","9.2%","±2.3"
"    $50,000 to $64,999","10.3%","±0.2","10.9%","±0.3","6.8%","±0.6","4.7%","±1.6"
"    $65,000 to $74,999","3.7%","±0.2","4.0%","±0.2","2.2%","±0.3","1.2%","±0.7"
"    $75,000 or more","12.1%","±0.2","12.3%","±0.3","5.7%","±0.5","8.9%","±2.2"
"Median earnings (dollars)","30,568","±156","31,661","±157","21,817","±436","18,808","±1,796"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","4,221,601","±21,994","3,424,517","±23,551","443,807","±9,836","47,901","±3,624"
"    Below 100 percent of the poverty level","8.5%","±0.3","7.3%","±0.3","13.8%","±1.1","28.1%","±3.4"
"    100 to 149 percent of the poverty level","8.1%","±0.3","7.4%","±0.3","12.9%","±1.0","12.0%","±2.9"
"    At or above 150 percent of the poverty level","83.4%","±0.4","85.3%","±0.4","73.3%","±1.4","59.9%","±4.2"
"Workers 16 years and over","4,263,889","±22,148","3,434,930","±23,683","449,216","±9,843","48,895","±3,694"
"OCCUPATION","","","","","","","",""
"    Management, business, science, and arts occupations","35.3%","±0.3","36.3%","±0.4","23.8%","±1.1","32.0%","±3.9"
"    Service occupations","17.7%","±0.3","17.3%","±0.3","20.9%","±1.3","27.9%","±4.3"
"    Sales and office occupations","23.2%","±0.3","23.8%","±0.4","18.4%","±1.1","24.2%","±3.7"
"    Natural resources, construction, and maintenance occupations","9.8%","±0.2","8.7%","±0.2","19.9%","±1.4","3.5%","±1.2"
"    Production, transportation, and material moving occupations","13.0%","±0.3","13.0%","±0.3","16.2%","±1.1","12.3%","±2.8"
"    Military specific occupations","1.0%","±0.1","0.9%","±0.1","0.8%","±0.2","0.1%","±0.1"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","1.5%","±0.1","1.2%","±0.1","3.1%","±0.5","0.3%","±0.3"
"    Construction","6.7%","±0.2","5.8%","±0.2","15.0%","±1.3","1.6%","±0.8"
"    Manufacturing","12.3%","±0.3","12.6%","±0.3","13.4%","±1.1","7.2%","±2.3"
"    Wholesale trade","2.6%","±0.1","2.6%","±0.1","2.1%","±0.5","2.0%","±0.9"
"    Retail trade","11.6%","±0.3","12.1%","±0.3","9.8%","±1.0","14.7%","±3.5"
"    Transportation and warehousing, and utilities","4.1%","±0.2","4.3%","±0.2","2.9%","±0.4","2.6%","±1.2"
"    Information and finance and insurance, and real estate and rental and leasing","7.8%","±0.2","7.8%","±0.2","4.6%","±0.5","9.8%","±2.6"
"    Professional, scientific, management, and administrative and waste management services","9.7%","±0.2","9.0%","±0.2","9.1%","±0.9","8.4%","±2.2"
"    Educational services, and health care and social assistance","23.1%","±0.4","24.3%","±0.4","19.1%","±1.1","27.5%","±3.6"
"    Arts, entertainment, and recreation, and accommodation and food services","9.4%","±0.2","9.0%","±0.2","11.7%","±1.0","18.2%","±3.7"
"    Other services (except public administration)","4.9%","±0.2","4.9%","±0.2","4.7%","±0.7","4.6%","±1.7"
"    Public administration","4.2%","±0.2","4.7%","±0.2","2.6%","±0.4","2.8%","±1.2"
"    Armed forces","2.0%","±0.1","1.7%","±0.1","1.9%","±0.3","0.2%","±0.2"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","77.6%","±0.4","78.3%","±0.4","80.2%","±1.0","75.3%","±3.7"
"    Government workers","16.4%","±0.3","17.2%","±0.3","13.6%","±0.8","20.4%","±3.1"
"    Self-employed workers in own not incorporated business","5.8%","±0.2","4.4%","±0.2","6.0%","±0.6","4.3%","±1.8"
"    Unpaid family workers","0.2%","±0.1","0.1%","±0.1","0.2%","±0.1","0.0%","±0.3"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","97.4%","±0.1","97.6%","±0.1","96.2%","±0.5","97.2%","±1.3"
"        Worked in county of residence","71.9%","±0.3","70.2%","±0.4","67.5%","±1.3","89.3%","±2.0"
"        Worked outside county of residence","25.5%","±0.3","27.4%","±0.4","28.7%","±1.3","8.0%","±1.7"
"    Worked outside state of residence","2.6%","±0.1","2.4%","±0.1","3.8%","±0.5","2.8%","±1.3"
"Workers 16 years and over who did not work at home","4,072,520","±23,332","3,434,930","±23,683","449,216","±9,843","48,895","±3,694"
"TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"    12:00 a.m. to 4:59 a.m.","3.5%","±0.1","3.5%","±0.1","3.6%","±0.4","1.1%","±0.7"
"    5:00 a.m. to 5:29 a.m.","3.5%","±0.2","3.4%","±0.2","4.6%","±0.6","4.1%","±1.5"
"    5:30 a.m. to 5:59 a.m.","4.4%","±0.2","4.3%","±0.2","4.9%","±0.6","4.3%","±1.2"
"    6:00 a.m. to 6:29 a.m.","8.5%","±0.2","8.2%","±0.2","11.2%","±0.9","4.8%","±1.5"
"    6:30 a.m. to 6:59 a.m.","10.2%","±0.3","10.3%","±0.3","10.9%","±1.1","8.3%","±2.4"
"    7:00 a.m. to 7:29 a.m.","15.6%","±0.3","15.8%","±0.3","16.1%","±1.0","12.8%","±2.6"
"    7:30 a.m. to 7:59 a.m.","14.1%","±0.3","14.8%","±0.3","11.2%","±0.8","8.7%","±2.4"
"    8:00 a.m. to 8:29 a.m.","11.0%","±0.3","11.1%","±0.3","8.9%","±0.8","15.1%","±3.6"
"    8:30 a.m. to 8:59 a.m.","5.6%","±0.2","5.8%","±0.2","4.5%","±0.5","4.6%","±1.4"
"    9:00 a.m. to 11:59 p.m.","23.7%","±0.4","22.9%","±0.4","24.2%","±1.2","36.1%","±3.9"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","13.3%","±0.3","12.3%","±0.3","12.2%","±0.8","4.2%","±1.3"
"    10 to 14 minutes","15.4%","±0.3","15.8%","±0.3","13.5%","±0.9","8.4%","±2.4"
"    15 to 19 minutes","17.8%","±0.3","18.4%","±0.4","15.6%","±0.9","11.5%","±2.7"
"    20 to 24 minutes","15.9%","±0.3","16.6%","±0.4","13.5%","±0.9","12.0%","±2.6"
"    25 to 29 minutes","6.7%","±0.2","7.1%","±0.3","5.2%","±0.5","4.6%","±1.8"
"    30 to 34 minutes","12.8%","±0.3","12.7%","±0.3","15.2%","±1.1","14.3%","±2.5"
"    35 to 44 minutes","6.1%","±0.2","6.1%","±0.2","7.3%","±0.8","7.4%","±1.9"
"    45 to 59 minutes","6.4%","±0.2","6.2%","±0.2","8.1%","±0.7","12.7%","±2.4"
"    60 or more minutes","5.6%","±0.2","4.8%","±0.2","9.4%","±0.8","24.8%","±3.2"
"    Mean travel time to work (minutes)","23.7","±0.2","23.2","±0.2","27.2","±0.7","38.2","±1.9"
"Workers 16 years and over in households","4,217,096","±21,900","3,423,818","±23,476","441,581","±9,952","47,638","±3,614"
"HOUSING TENURE","","","","","","","",""
"    Owner-occupied housing units","67.8%","±0.5","69.9%","±0.5","56.6%","±1.4","30.0%","±3.3"
"    Renter-occupied housing units","32.2%","±0.5","30.1%","±0.5","43.4%","±1.4","70.0%","±3.3"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","2.7%","±0.2","1.3%","±0.1","7.3%","±0.9","30.6%","±3.4"
"    1 vehicle available","21.1%","±0.4","20.2%","±0.5","25.6%","±1.4","30.0%","±4.2"
"    2 vehicles available","43.0%","±0.5","44.0%","±0.6","36.7%","±1.5","23.6%","±3.9"
"    3 or more vehicles available","33.3%","±0.5","34.5%","±0.6","30.3%","±1.3","15.8%","±2.9"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","5.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","11.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","8.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
