"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"        $25,000 to $34,999","16.4%","±0.3","17.0%","±0.4","15.9%","±0.9","10.7%","±2.2"
"        $35,000 to $49,999","16.9%","±0.3","17.9%","±0.3","13.7%","±0.9","12.2%","±2.5"
"        $50,000 to $64,999","10.5%","±0.2","11.2%","±0.2","7.2%","±0.6","5.8%","±1.3"
"        $65,000 to $74,999","3.8%","±0.2","4.0%","±0.2","2.5%","±0.4","2.8%","±1.2"
"        $75,000 or more","12.8%","±0.2","13.0%","±0.2","6.1%","±0.6","9.1%","±2.0"
"Median earnings (dollars)","31,007","±148","31,935","±153","22,259","±487","19,822","±1,684"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","4,387,204","±19,181","3,591,431","±22,264","423,100","±10,725","50,057","±3,609"
"        Below 100 percent of the poverty level","8.4%","±0.2","7.4%","±0.3","13.9%","±1.1","21.0%","±3.1"
"        100 to 149 percent of the poverty level","8.1%","±0.3","7.5%","±0.3","12.3%","±1.0","12.4%","±3.1"
"        At or above 150 percent of the poverty level","83.5%","±0.3","85.1%","±0.4","73.8%","±1.4","66.6%","±3.8"
"Workers 16 years and over","4,431,005","±19,374","3,605,043","±22,261","429,299","±10,729","50,467","±3,630"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","35.8%","±0.4","36.3%","±0.4","25.9%","±1.2","32.1%","±3.2"
"        Service occupations","17.3%","±0.3","16.9%","±0.3","20.5%","±1.1","28.4%","±4.2"
"        Sales and office occupations","23.4%","±0.3","24.0%","±0.3","18.0%","±1.2","25.0%","±3.3"
"        Natural resources, construction, and maintenance occupations","9.1%","±0.2","8.3%","±0.3","18.2%","±1.2","4.0%","±1.3"
"        Production, transportation, and material moving occupations","13.3%","±0.3","13.5%","±0.3","16.7%","±1.1","10.4%","±2.1"
"        Military specific occupations","1.0%","±0.1","1.0%","±0.1","0.7%","±0.2","0.1%","±0.1"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","1.2%","±0.1","1.0%","±0.1","2.4%","±0.5","0.3%","±0.3"
"    Construction","6.3%","±0.2","5.4%","±0.2","14.2%","±1.2","2.6%","±1.2"
"    Manufacturing","11.9%","±0.3","12.3%","±0.3","12.6%","±1.0","5.2%","±1.9"
"    Wholesale trade","2.7%","±0.1","2.8%","±0.1","1.9%","±0.4","1.7%","±1.0"
"    Retail trade","12.0%","±0.3","12.5%","±0.3","10.2%","±0.8","14.4%","±2.9"
"    Transportation and warehousing, and utilities","4.3%","±0.2","4.4%","±0.2","3.7%","±0.5","4.7%","±1.4"
"    Information and finance and insurance, and real estate and rental and leasing","8.1%","±0.2","8.0%","±0.2","6.0%","±0.8","9.2%","±2.1"
"    Professional, scientific, management, and administrative and waste management services","10.1%","±0.3","9.2%","±0.3","10.4%","±1.0","13.2%","±2.9"
"    Educational services, and health care and social assistance","22.6%","±0.3","23.7%","±0.4","18.2%","±1.0","24.1%","±3.0"
"    Arts, entertainment, and recreation, and accommodation and food services","9.7%","±0.3","9.2%","±0.3","12.2%","±1.0","18.1%","±3.6"
"    Other services (except public administration)","4.8%","±0.2","4.8%","±0.2","4.0%","±0.4","4.8%","±1.5"
"    Public administration","4.4%","±0.2","4.9%","±0.2","2.3%","±0.4","1.7%","±0.7"
"    Armed forces","1.8%","±0.1","1.7%","±0.1","1.7%","±0.3","0.1%","±0.1"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","78.3%","±0.3","78.6%","±0.4","80.1%","±1.1","86.5%","±2.1"
"    Government workers","16.0%","±0.3","16.9%","±0.4","13.5%","±0.9","12.1%","±2.2"
"    Self-employed workers in own not incorporated business","5.5%","±0.2","4.3%","±0.2","6.1%","±0.7","1.2%","±0.6"
"    Unpaid family workers","0.2%","±0.1","0.1%","±0.1","0.3%","±0.1","0.3%","±0.3"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","97.5%","±0.1","97.6%","±0.2","96.5%","±0.6","96.6%","±1.4"
"        Worked in county of residence","71.9%","±0.3","69.8%","±0.4","70.3%","±1.2","85.3%","±2.7"
"        Worked outside county of residence","25.6%","±0.3","27.8%","±0.4","26.2%","±1.3","11.3%","±2.3"
"    Worked outside state of residence","2.5%","±0.1","2.4%","±0.2","3.5%","±0.6","3.4%","±1.4"
"Workers 16 years and over who did not work at home","4,221,920","±20,777","3,605,043","±22,261","429,299","±10,729","50,467","±3,630"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.6%","±0.2","3.6%","±0.2","4.1%","±0.5","2.0%","±1.0"
"        5:00 a.m. to 5:29 a.m.","3.3%","±0.2","3.3%","±0.2","3.5%","±0.5","2.7%","±1.0"
"        5:30 a.m. to 5:59 a.m.","4.4%","±0.2","4.3%","±0.2","5.6%","±0.7","5.8%","±2.0"
"        6:00 a.m. to 6:29 a.m.","8.8%","±0.2","8.8%","±0.2","10.5%","±0.8","7.2%","±2.1"
"        6:30 a.m. to 6:59 a.m.","10.4%","±0.3","10.6%","±0.3","11.1%","±0.9","6.7%","±2.0"
"        7:00 a.m. to 7:29 a.m.","15.8%","±0.3","16.0%","±0.3","16.3%","±1.0","9.4%","±2.3"
"        7:30 a.m. to 7:59 a.m.","13.6%","±0.3","14.0%","±0.3","12.2%","±1.0","11.3%","±2.3"
"        8:00 a.m. to 8:29 a.m.","10.6%","±0.3","10.8%","±0.3","8.4%","±0.8","11.9%","±2.1"
"        8:30 a.m. to 8:59 a.m.","5.2%","±0.2","5.3%","±0.2","4.2%","±0.6","5.3%","±1.8"
"        9:00 a.m. to 11:59 p.m.","24.2%","±0.4","23.4%","±0.4","24.1%","±1.2","37.7%","±3.6"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","13.1%","±0.3","12.2%","±0.3","11.9%","±0.9","4.5%","±2.0"
"    10 to 14 minutes","15.1%","±0.3","15.3%","±0.4","14.2%","±0.9","6.0%","±1.8"
"    15 to 19 minutes","17.2%","±0.3","17.6%","±0.4","16.8%","±1.0","9.4%","±2.6"
"    20 to 24 minutes","15.8%","±0.3","16.4%","±0.4","14.2%","±1.1","9.4%","±2.1"
"    25 to 29 minutes","7.0%","±0.2","7.3%","±0.3","5.7%","±0.6","5.9%","±2.3"
"    30 to 34 minutes","13.0%","±0.3","13.1%","±0.3","14.2%","±1.2","17.3%","±2.6"
"    35 to 44 minutes","6.2%","±0.2","6.2%","±0.2","7.0%","±0.6","6.0%","±1.7"
"    45 to 59 minutes","6.8%","±0.2","6.8%","±0.2","7.9%","±0.8","14.9%","±2.9"
"    60 or more minutes","5.7%","±0.2","5.2%","±0.2","8.2%","±0.8","26.6%","±3.7"
"    Mean travel time to work (minutes)","23.9","±0.2","23.5","±0.2","26.6","±0.6","41.7","±2.6"
"Workers 16 years and over in households","4,381,006","±19,206","3,591,065","±22,280","419,867","±10,670","49,252","±3,547"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","66.5%","±0.6","68.2%","±0.6","55.9%","±1.6","31.2%","±3.7"
"        Renter-occupied housing units","33.5%","±0.6","31.8%","±0.6","44.1%","±1.6","68.8%","±3.7"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","2.4%","±0.1","1.0%","±0.1","6.4%","±0.7","29.4%","±4.7"
"    1 vehicle available","20.8%","±0.4","20.0%","±0.4","25.6%","±1.4","32.9%","±4.6"
"    2 vehicles available","42.4%","±0.5","43.3%","±0.6","37.1%","±1.3","25.0%","±3.7"
"    3 or more vehicles available","34.4%","±0.5","35.7%","±0.6","30.9%","±1.3","12.7%","±3.1"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","7.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","15.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","11.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
