"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"    Service occupations","17.3%","±0.3","16.8%","±0.4","19.2%","±1.4","31.9%","±4.3"
"    Sales and office occupations","23.4%","±0.4","24.5%","±0.5","16.8%","±1.3","20.1%","±3.4"
"    Natural resources, construction, and maintenance occupations","9.6%","±0.3","8.5%","±0.3","19.5%","±1.4","7.8%","±2.0"
"    Production, transportation, and material moving occupations","13.3%","±0.3","13.2%","±0.3","17.1%","±1.2","13.5%","±2.9"
"    Military specific occupations","1.1%","±0.1","1.0%","±0.1","0.9%","±0.3","0.9%","±0.7"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","1.4%","±0.1","1.0%","±0.1","2.8%","±0.5","1.7%","±0.7"
"    Construction","6.5%","±0.3","5.6%","±0.3","14.2%","±1.2","4.1%","±1.9"
"    Manufacturing","12.5%","±0.3","12.8%","±0.4","14.4%","±1.0","5.5%","±2.1"
"    Wholesale trade","2.8%","±0.2","3.0%","±0.2","2.2%","±0.4","1.1%","±0.9"
"    Retail trade","11.3%","±0.3","11.9%","±0.4","9.0%","±0.9","13.3%","±3.0"
"    Transportation and warehousing, and utilities","4.3%","±0.2","4.5%","±0.2","3.2%","±0.5","3.1%","±1.1"
"    Information and finance and insurance, and real estate and rental and leasing","7.9%","±0.3","8.1%","±0.3","4.4%","±0.7","7.1%","±1.8"
"    Professional, scientific, management, and administrative and waste management services","9.8%","±0.3","9.0%","±0.3","10.1%","±1.0","8.8%","±2.9"
"    Educational services, and health care and social assistance","23.1%","±0.4","24.1%","±0.5","19.9%","±1.2","25.6%","±4.3"
"    Arts, entertainment, and recreation, and accommodation and food services","8.8%","±0.3","8.5%","±0.4","10.0%","±1.0","21.6%","±4.0"
"    Other services (except public administration)","4.8%","±0.2","4.8%","±0.2","4.1%","±0.6","3.9%","±1.6"
"    Public administration","4.7%","±0.2","5.2%","±0.3","3.5%","±0.6","2.8%","±1.1"
"    Armed forces","2.0%","±0.1","1.6%","±0.1","2.3%","±0.4","1.3%","±0.9"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","77.0%","±0.4","78.0%","±0.4","76.5%","±1.4","79.2%","±3.5"
"    Government workers","17.2%","±0.3","17.6%","±0.4","16.9%","±1.2","18.9%","±3.4"
"    Self-employed workers in own not incorporated business","5.7%","±0.2","4.3%","±0.2","6.4%","±0.7","2.0%","±1.0"
"    Unpaid family workers","0.1%","±0.1","0.1%","±0.1","0.2%","±0.1","0.0%","±0.4"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","97.6%","±0.2","97.9%","±0.2","96.1%","±0.7","97.6%","±1.0"
"        Worked in county of residence","72.3%","±0.4","70.5%","±0.5","68.4%","±1.8","85.2%","±3.1"
"        Worked outside county of residence","25.3%","±0.4","27.4%","±0.5","27.7%","±1.7","12.4%","±2.9"
"    Worked outside state of residence","2.4%","±0.2","2.1%","±0.2","3.9%","±0.7","2.4%","±1.0"
"Workers 16 years and over who did not work at home","3,986,657","±27,485","3,390,337","±26,025","415,821","±13,997","49,068","±4,657"
"TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"    12:00 a.m. to 4:59 a.m.","3.6%","±0.2","3.6%","±0.2","3.6%","±0.7","0.8%","±0.5"
"    5:00 a.m. to 5:29 a.m.","3.1%","±0.2","3.0%","±0.2","4.3%","±0.6","1.3%","±0.9"
"    5:30 a.m. to 5:59 a.m.","4.3%","±0.2","4.2%","±0.2","4.9%","±0.6","4.2%","±1.7"
"    6:00 a.m. to 6:29 a.m.","9.0%","±0.3","8.6%","±0.3","12.4%","±1.3","9.5%","±2.4"
"    6:30 a.m. to 6:59 a.m.","10.2%","±0.3","10.3%","±0.3","10.8%","±1.0","7.6%","±2.3"
"    7:00 a.m. to 7:29 a.m.","15.8%","±0.4","15.9%","±0.4","16.7%","±1.1","13.5%","±3.4"
"    7:30 a.m. to 7:59 a.m.","14.4%","±0.3","15.1%","±0.3","12.5%","±1.1","8.0%","±2.3"
"    8:00 a.m. to 8:29 a.m.","11.0%","±0.3","11.3%","±0.4","8.8%","±1.0","10.6%","±2.8"
"    8:30 a.m. to 8:59 a.m.","5.3%","±0.2","5.5%","±0.2","3.6%","±0.6","5.7%","±2.0"
"    9:00 a.m. to 11:59 p.m.","23.2%","±0.4","22.5%","±0.4","22.3%","±1.4","38.7%","±4.5"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","13.4%","±0.4","12.8%","±0.4","11.9%","±1.1","2.4%","±1.0"
"    10 to 14 minutes","15.6%","±0.3","15.8%","±0.3","13.7%","±1.1","7.2%","±2.1"
"    15 to 19 minutes","17.6%","±0.4","18.1%","±0.5","15.7%","±1.2","8.9%","±2.3"
"    20 to 24 minutes","15.7%","±0.4","16.2%","±0.4","14.9%","±1.2","12.4%","±3.1"
"    25 to 29 minutes","6.8%","±0.3","7.2%","±0.3","5.6%","±0.7","5.1%","±2.2"
"    30 to 34 minutes","13.5%","±0.4","13.4%","±0.4","16.0%","±1.3","16.9%","±2.9"
"    35 to 44 minutes","5.8%","±0.2","5.8%","±0.2","6.7%","±0.9","8.3%","±2.5"
"    45 to 59 minutes","6.4%","±0.3","6.4%","±0.3","6.9%","±0.8","12.6%","±2.9"
"    60 or more minutes","5.1%","±0.2","4.4%","±0.2","8.5%","±1.0","26.2%","±3.5"
"    Mean travel time to work (minutes)","23.4","±0.2","22.9","±0.2","26.4","±0.7","40.6","±2.5"
"Workers 16 years and over in households","4,124,921","±27,927","3,375,068","±25,910","406,865","±13,779","46,273","±4,439"
"HOUSING TENURE","","","","","","","",""
"    Owner-occupied housing units","69.5%","±0.6","71.7%","±0.7","57.9%","±1.8","30.1%","±4.4"
"    Renter-occupied housing units","30.5%","±0.6","28.3%","±0.7","42.1%","±1.8","69.9%","±4.4"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","2.6%","±0.2","1.1%","±0.1","7.2%","±0.9","35.4%","±4.8"
"    1 vehicle available","20.9%","±0.4","19.9%","±0.4","25.7%","±1.6","26.8%","±3.7"
"    2 vehicles available","43.9%","±0.7","44.9%","±0.7","39.0%","±1.8","25.6%","±4.1"
"    3 or more vehicles available","32.6%","±0.6","34.1%","±0.7","28.1%","±1.5","12.2%","±3.0"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","5.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","11.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","8.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
