"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"        White alone, not Hispanic or Latino","62.9%","±0.3","64.3%","±0.4","49.2%","±1.8","30.9%","±5.4"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","89.1%","±0.3","90.1%","±0.3","80.5%","±1.5","84.8%","±4.6"
"        Foreign born","10.9%","±0.3","9.9%","±0.3","19.5%","±1.5","15.2%","±4.6"
"            Naturalized U.S. citizen","4.8%","±0.2","4.5%","±0.3","5.9%","±0.9","4.9%","±2.8"
"            Not a U.S. citizen","6.1%","±0.2","5.4%","±0.3","13.6%","±1.4","10.3%","±3.5"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","13.0%","±0.3","12.2%","±0.3","24.3%","±1.5","15.0%","±4.8"
"            Speak English ""very well""","7.8%","±0.2","7.2%","±0.3","10.3%","±0.9","6.5%","±3.0"
"            Speak English less than ""very well""","5.2%","±0.2","4.9%","±0.2","14.0%","±1.2","8.5%","±3.4"
"EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","4,886,952","±23,187","3,440,240","±27,157","366,355","±12,616","25,104","±3,063"
"        $1 to $9,999 or loss","11.2%","±0.3","10.9%","±0.3","19.0%","±1.3","27.9%","±6.0"
"        $10,000 to $14,999","5.6%","±0.2","5.9%","±0.3","8.6%","±0.9","7.2%","±2.9"
"        $15,000 to $24,999","11.9%","±0.3","12.6%","±0.3","16.3%","±1.2","14.1%","±5.0"
"        $25,000 to $34,999","13.9%","±0.3","15.0%","±0.4","17.2%","±1.3","12.5%","±3.4"
"        $35,000 to $49,999","17.6%","±0.3","18.7%","±0.4","17.7%","±1.1","16.4%","±6.1"
"        $50,000 to $64,999","13.3%","±0.3","14.0%","±0.3","9.2%","±0.7","8.2%","±3.7"
"        $65,000 to $74,999","5.3%","±0.2","5.2%","±0.2","3.6%","±0.6","3.9%","±2.2"
"        $75,000 or more","21.3%","±0.4","17.7%","±0.5","8.3%","±0.8","9.8%","±4.0"
"        Median earnings (dollars)","40,661","±217","39,042","±490","27,534","±1,084","25,538","±5,359"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","4,827,199","±23,371","3,421,348","±27,302","355,728","±12,314","25,007","±3,045"
"        Below 100 percent of the poverty level","5.8%","±0.3","5.9%","±0.3","9.8%","±1.2","22.4%","±5.9"
"        100 to 149 percent of the poverty level","5.9%","±0.3","6.1%","±0.3","9.6%","±1.1","10.5%","±4.4"
"        At or above 150 percent of the poverty level","88.3%","±0.3","88.0%","±0.4","80.6%","±1.4","67.1%","±7.0"
"Workers 16 years and over","4,887,692","±23,189","3,440,939","±27,236","366,355","±12,616","25,104","±3,063"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","41.7%","±0.5","37.5%","±0.6","25.5%","±1.5","28.0%","±5.6"
"        Service occupations","14.6%","±0.3","16.0%","±0.4","20.3%","±1.2","25.8%","±5.7"
"        Sales and office occupations","19.7%","±0.4","19.8%","±0.4","17.3%","±1.4","17.4%","±5.2"
"        Natural resources, construction, and maintenance occupations","9.1%","±0.3","9.7%","±0.3","17.5%","±1.4","8.2%","±3.7"
"        Production, transportation, and material moving occupations","13.8%","±0.3","15.8%","±0.4","18.6%","±1.3","19.2%","±5.8"
"        Military specific occupations","1.1%","±0.1","1.2%","±0.1","0.8%","±0.3","1.5%","±1.7"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","1.1%","±0.1","1.1%","±0.1","1.4%","±0.4","3.1%","±2.5"
"        Construction","7.3%","±0.2","7.6%","±0.3","14.3%","±1.3","3.2%","±1.9"
"        Manufacturing","11.7%","±0.3","12.5%","±0.3","13.2%","±1.2","9.0%","±3.8"
"        Wholesale trade","2.2%","±0.1","2.2%","±0.2","1.8%","±0.4","0.5%","±0.7"
"        Retail trade","11.0%","±0.3","12.2%","±0.4","11.7%","±1.1","14.5%","±4.5"
"        Transportation and warehousing, and utilities","5.3%","±0.2","5.8%","±0.2","4.2%","±0.8","5.1%","±2.9"
"        Information and finance and insurance, and real estate and rental and leasing","8.6%","±0.3","6.2%","±0.2","3.9%","±0.6","6.8%","±3.1"
"        Professional, scientific, management, and administrative and waste management services","11.8%","±0.3","8.6%","±0.3","8.0%","±0.9","10.3%","±4.7"
"        Educational services, and health care and social assistance","22.1%","±0.4","23.8%","±0.4","18.5%","±1.4","22.9%","±5.7"
"        Arts, entertainment, and recreation, and accommodation and food services","7.8%","±0.2","8.4%","±0.3","12.4%","±1.0","16.7%","±4.8"
"        Other services (except public administration)","4.6%","±0.2","4.8%","±0.2","4.7%","±0.8","3.2%","±2.7"
"        Public administration","4.2%","±0.2","4.6%","±0.2","2.6%","±0.6","3.2%","±2.5"
"        Armed forces","2.3%","±0.1","2.2%","±0.1","3.2%","±0.6","1.5%","±1.7"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","77.9%","±0.4","77.6%","±0.5","77.1%","±1.3","78.2%","±5.8"
"        Government workers","16.0%","±0.3","17.3%","±0.4","15.2%","±1.2","19.4%","±5.7"
"        Self-employed workers in own not incorporated business","5.9%","±0.2","5.0%","±0.3","7.1%","±0.7","2.4%","±1.9"
"        Unpaid family workers","0.2%","±0.1","0.1%","±0.1","0.6%","±0.3","0.0%","±0.8"
"    PLACE OF WORK","","","","","","","",""
"        Worked in state of residence","97.7%","±0.1","97.3%","±0.2","96.7%","±0.6","98.4%","±1.2"
"            Worked in county of residence","74.0%","±0.4","67.0%","±0.6","70.7%","±1.5","85.4%","±3.8"
"            Worked outside county of residence","23.7%","±0.5","30.3%","±0.6","25.9%","±1.5","13.0%","±3.6"
"        Worked outside state of residence","2.3%","±0.1","2.7%","±0.2","3.3%","±0.6","1.6%","±1.2"
"Workers 16 years and over who did not work from home","3,970,072","±27,875","3,440,939","±27,236","366,355","±12,616","25,104","±3,063"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","4.8%","±0.2","4.7%","±0.2","4.9%","±0.8","6.5%","±2.9"
"        5:00 a.m. to 5:29 a.m.","3.5%","±0.2","3.4%","±0.2","3.5%","±0.7","1.7%","±1.4"
"        5:30 a.m. to 5:59 a.m.","4.5%","±0.2","4.6%","±0.2","4.5%","±0.8","4.6%","±2.7"
"        6:00 a.m. to 6:29 a.m.","9.3%","±0.3","9.3%","±0.3","10.2%","±1.0","5.1%","±3.1"
"        6:30 a.m. to 6:59 a.m.","10.4%","±0.3","10.5%","±0.4","10.9%","±1.0","8.5%","±4.1"
"        7:00 a.m. to 7:29 a.m.","14.9%","±0.3","15.0%","±0.4","15.3%","±1.0","10.9%","±3.9"
"        7:30 a.m. to 7:59 a.m.","12.6%","±0.3","13.1%","±0.3","11.0%","±1.1","7.3%","±2.7"
"        8:00 a.m. to 8:29 a.m.","11.0%","±0.3","11.4%","±0.3","7.4%","±0.9","10.5%","±3.2"
"        8:30 a.m. to 8:59 a.m.","5.2%","±0.2","5.3%","±0.2","3.9%","±0.7","4.6%","±2.4"
"        9:00 a.m. to 11:59 p.m.","23.7%","±0.5","22.6%","±0.5","28.4%","±1.8","40.3%","±6.5"
"    TRAVEL TIME TO WORK","","","","","","","",""
"        Less than 10 minutes","13.0%","±0.3","11.8%","±0.3","13.4%","±1.2","6.0%","±4.4"
"        10 to 14 minutes","14.0%","±0.4","13.8%","±0.4","14.9%","±1.2","11.6%","±3.7"
"        15 to 19 minutes","17.4%","±0.4","17.7%","±0.4","16.3%","±1.3","8.2%","±3.7"
"        20 to 24 minutes","15.1%","±0.3","15.5%","±0.3","14.5%","±1.4","7.0%","±2.9"
"        25 to 29 minutes","7.4%","±0.2","7.8%","±0.2","5.8%","±0.5","4.2%","±2.6"
"        30 to 34 minutes","13.5%","±0.3","13.6%","±0.4","13.5%","±1.2","19.6%","±5.0"
"        35 to 44 minutes","6.7%","±0.3","7.0%","±0.3","6.1%","±1.0","5.8%","±3.2"
"        45 to 59 minutes","6.9%","±0.3","7.1%","±0.3","6.2%","±0.9","8.2%","±3.3"
"        60 or more minutes","6.0%","±0.2","5.5%","±0.3","9.3%","±1.1","29.4%","±5.9"
"        Mean travel time to work (minutes)","24.5","±0.2","24.4","±0.2","26.5","±0.9","41.6","±4.2"
"Workers 16 years and over in households","4,822,706","±23,293","3,420,875","±27,331","355,091","±12,328","23,543","±3,008"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","69.2%","±0.5","69.7%","±0.6","60.9%","±1.8","36.7%","±7.4"
"        Renter-occupied housing units","30.8%","±0.5","30.3%","±0.6","39.1%","±1.8","63.3%","±7.4"
"    VEHICLES AVAILABLE","","","","","","","",""
"        No vehicle available","2.1%","±0.2","1.3%","±0.1","4.7%","±0.8","30.5%","±6.7"
"        1 vehicle available","19.2%","±0.4","18.1%","±0.4","19.8%","±1.6","26.9%","±7.0"
"        2 vehicles available","40.9%","±0.6","40.2%","±0.6","36.0%","±1.8","22.1%","±5.8"
"        3 or more vehicles available","37.9%","±0.6","40.4%","±0.6","39.4%","±1.9","20.5%","±5.9"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","13.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","26.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","20.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
